https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29272,29272,675,675
Alagoas (AL),88954,88954,2151,2151
Amapá (AP),49593,49593,727,727
Amazonas (AM),147864,147864,4254,4254
Bahia (BA),327327,327327,7188,7188
Ceará (CE),260642,260642,9140,9140
Distrito Federal(DF),201230,201230,3466,3466
Espírito Santo (ES),140701,140629,3680,3680
Goiás (GO),231182,230184,5252,5211
Maranhão (MA),179170,179170,3885,3885
Mato Grosso (MT),132949,132260,3660,3605
Mato Grosso do Sul (MS),75561,75076,1464,1449
Minas Gerais (MG),324626,324626,8145,8145
Pará (PA),238835,237996,6661,6657
Paraíba (PB),126073,126073,2944,2944
Paraná (PR),194692,194692,4805,4805
Pernambuco (PE),153299,153299,8417,8417
Piauí (PI),103461,102813,2249,2237
Rio de Janeiro (RJ),284053,284053,19336,19336
Rio Grande do Norte (RN),73981,73143,2435,2423
Rio Grande do Sul (RS),214970,214970,5167,5167
Rondônia (RO),68126,68126,1406,1406
Roraima (RR),52848,52701,676,670
Santa Catarina (SC),228403,228403,2927,2927
São Paulo (SP),1039029,1039029,37314,37314
Sergipe (SE),80234,80234,2107,2107
Tocantins (TO),71624,71269,1021,1012
TOTAL,5118699,5113628,151152,150998
