https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/11/brasil-tem-52-casos-confirmados-de-novo-coronavirus-aponta-painel-do-ministerio-da-saude.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),4,1
Amapá (AP),0,0
Amazonas (AM),1,0
Bahia (BA),65,2
Ceará (CE),22,0
Distrito Federal(DF),74,2
Espírito Santo (ES),31,1
Goiás (GO),17,0
Maranhão (MA),6,0
Mato Grosso (MT),1,0
Mato Grosso do Sul (MS),6,0
Minas Gerais (MG),117,1
Pará (PA),5,0
Paraíba (PB),7,0
Paraná (PR),49,0
Pernambuco (PE),17,0
Piauí (PI),1,0
Rio de Janeiro (RJ),87,13
Rio Grande do Norte (RN),13,0
Rio Grande do Sul (RS),67,2
Rondônia (RO),2,0
Roraima (RR),0,0
Santa Catarina (SC),47,0
São Paulo (SP),263,30
Sergipe (SE),2,0
Tocantins (TO),0,0
TOTAL,907,52
