https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/12/brasil-tem-76-casos-confirmados-de-novo-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),6,1
Amazonas (AM),1,0
Bahia (BA),65,2
Ceará (CE),22,0
Distrito Federal(DF),82,2
Espírito Santo (ES),51,1
Goiás (GO),16,0
Maranhão (MA),6,0
Mato Grosso (MT),1,0
Mato Grosso do Sul (MS),9,0
Minas Gerais (MG),117,1
Pará (PA),5,0
Paraíba (PB),10,0
Paraná (PR),54,6
Pernambuco (PE),18,2
Piauí (PI),1,0
Rio de Janeiro (RJ),76,16
Rio Grande do Norte (RN),13,0
Rio Grande do Sul (RS),82,4
Rondônia (RO),2,0
Santa Catarina (SC),67,0
São Paulo (SP),714,41
Sergipe (SE),2,0
TOTAL,1423,76
