https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/15/brasil-tem-176-casos-de-coronavirus-segundo-relatorio-do-ministerio-da-saude.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),14,1
Amapá (AP),1,0
Amazonas (AM),0,1
Bahia (BA),65,2
Ceará (CE),22,0
Distrito Federal(DF),81,8
Espírito Santo (ES),51,1
Goiás (GO),4,3
Maranhão (MA),6,0
Mato Grosso (MT),8,0
Mato Grosso do Sul (MS),15,0
Minas Gerais (MG),106,2
Pará (PA),1,0
Paraíba (PB),27,0
Paraná (PR),80,6
Pernambuco (PE),18,2
Piauí (PI),1,0
Rio de Janeiro (RJ),95,24
Rio Grande do Norte (RN),14,1
Rio Grande do Sul (RS),66,6
Rondônia (RO),2,0
Roraima (RR),2,0
Santa Catarina (SC),102,6
São Paulo (SP),1125,136
Sergipe (SE),1,1
Tocantins (TO),3,0
TOTAL,1913,200
