https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/18/casos-de-coronavirus-no-brasil-em-18-de-marco.ghtml,,,,,,,"Mudança a partir daqui, Casos suspeitos apenas números totais"
,,,,,,,
,,,,,,,
Estado,Secretarias,Ministério,,,,,
Acre (AC),3,0,,,,,
Alagoas (AL),1,1,,,,,
Amapá (AP),0,0,,,,,
Amazonas (AM),1,1,,,,,
Bahia (BA),16,3,,,,,
Ceará (CE),11,5,,,,,
Distrito Federal(DF),19,22,,,,,
Espírito Santo (ES),8,1,,,,,
Goiás (GO),10,6,,,,,
Maranhão (MA),0,0,,,,,
Mato Grosso (MT),0,0,,,,,
Mato Grosso do Sul (MS),6,4,,,,,
Minas Gerais (MG),14,7,,,,,
Pará (PA),0,0,,,,,
Paraíba (PB),0,0,,,,,
Paraná (PR),12,6,,,,,
Pernambuco (PE),19,16,,,,,
Piauí (PI),0,0,,,,,
Rio de Janeiro (RJ),33,33,,,,,
Rio Grande do Norte (RN),1,1,,,,,
Rio Grande do Sul (RS),19,10,,,,,
Rondônia (RO),0,0,,,,,
Roraima (RR),0,0,,,,,
Santa Catarina (SC),7,7,,,,,
São Paulo (SP),164,164,,,,,
Sergipe (SE),5,4,,,,,
Tocantins (TO),0,0,,,,,
TOTAL,349,291,,,,,
