https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/26/brasil-tem-78-mortes-e-2918-casos-confirmados-de-novo-coronavirus-diz-ministerio-da-saude.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),24,24
Alagoas (AL),11,11
Amapá (AP),2,2
Amazonas (AM),67,67
Bahia (BA),104,104
Ceará (CE),235,235
Distrito Federal(DF),200,200
Espírito Santo (ES),39,39
Goiás (GO),39,39
Maranhão (MA),10,10
Mato Grosso (MT),11,11
Mato Grosso do Sul (MS),25,25
Minas Gerais (MG),153,153
Pará (PA),13,13
Paraíba (PB),5,5
Paraná (PR),102,102
Pernambuco (PE),48,48
Piauí (PI),9,9
Rio de Janeiro (RJ),421,421
Rio Grande do Norte (RN),19,19
Rio Grande do Sul (RS),168,168
Rondônia (RO),5,5
Roraima (RR),8,8
Santa Catarina (SC),122,122
São Paulo (SP),1052,1052
Sergipe (SE),16,16
Tocantins (TO),7,7
TOTAL,2915,2915
