https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/27/casos-de-coronavirus-no-brasil-em-27-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),25,25
Alagoas (AL),12,12
Amapá (AP),2,2
Amazonas (AM),81,81
Bahia (BA),123,123
Ceará (CE),282,282
Distrito Federal(DF),242,242
Espírito Santo (ES),54,54
Goiás (GO),49,49
Maranhão (MA),14,14
Mato Grosso (MT),11,11
Mato Grosso do Sul (MS),28,28
Minas Gerais (MG),189,189
Pará (PA),16,16
Paraíba (PB),10,10
Paraná (PR),125,125
Pernambuco (PE),57,57
Piauí (PI),9,9
Rio de Janeiro (RJ),493,493
Rio Grande do Norte (RN),28,28
Rio Grande do Sul (RS),197,197
Rondônia (RO),6,6
Roraima (RR),12,12
Santa Catarina (SC),163,163
São Paulo (SP),1223,1223
Sergipe (SE),16,16
Tocantins (TO),9,9
TOTAL,3476,3476
