https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/02/brasil-tem-299-mortes-e-7910-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),45,43
Alagoas (AL),18,18
Amapá (AP),12,11
Amazonas (AM),229,229
Bahia (BA),267,267
Ceará (CE),563,550
Distrito Federal(DF),377,370
Espírito Santo (ES),139,120
Goiás (GO),73,73
Maranhão (MA),81,71
Mato Grosso (MT),41,36
Mato Grosso do Sul (MS),53,53
Minas Gerais (MG),370,370
Pará (PA),49,46
Paraíba (PB),29,21
Paraná (PR),258,252
Pernambuco (PE),106,106
Piauí (PI),19,19
Rio de Janeiro (RJ),992,992
Rio Grande do Norte (RN),106,105
Rio Grande do Sul (RS),386,334
Rondônia (RO),10,10
Roraima (RR),30,26
Santa Catarina (SC),281,247
São Paulo (SP),3506,3506
Sergipe (SE),24,23
Tocantins (TO),12,12
TOTAL,8076,7910
