https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/08/casos-de-coronavirus-no-brasil-em-8-de-abril.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),62,62
Alagoas (AL),37,37
Amapá (AP),110,128
Amazonas (AM),899,899
Bahia (BA),568,559
Ceará (CE),1445,1425
Distrito Federal(DF),527,527
Espírito Santo (ES),300,273
Goiás (GO),179,179
Maranhão (MA),293,273
Mato Grosso (MT),108,108
Mato Grosso do Sul (MS),89,89
Minas Gerais (MG),655,655
Pará (PA),169,168
Paraíba (PB),79,55
Paraná (PR),621,609
Pernambuco (PE),555,555
Piauí (PI),40,38
Rio de Janeiro (RJ),2216,2216
Rio Grande do Norte (RN),261,261
Rio Grande do Sul (RS),636,618
Rondônia (RO),28,28
Roraima (RR),63,52
Santa Catarina (SC),693,501
São Paulo (SP),7480,7480
Sergipe (SE),40,39
Tocantins (TO),23,23
TOTAL,18176,17857
