https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/10/brasil-tem-1057-mortes-e-19638-casos-confirmados-de-novo-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),70,70
Alagoas (AL),45,45
Amapá (AP),166,166
Amazonas (AM),981,981
Bahia (BA),616,604
Ceará (CE),1558,1478
Distrito Federal(DF),563,555
Espírito Santo (ES),349,300
Goiás (GO),191,191
Maranhão (MA),344,293
Mato Grosso (MT),112,112
Mato Grosso do Sul (MS),97,97
Minas Gerais (MG),698,698
Pará (PA),217,170
Paraíba (PB),85,79
Paraná (PR),655,643
Pernambuco (PE),684,684
Piauí (PI),40,40
Rio de Janeiro (RJ),2464,2464
Rio Grande do Norte (RN),263,263
Rio Grande do Sul (RS),640,636
Rondônia (RO),32,32
Roraima (RR),75,63
Santa Catarina (SC),717,693
São Paulo (SP),8216,8216
Sergipe (SE),42,42
Tocantins (TO),23,23
TOTAL,19943,19638
