https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/12/brasil-tem-1223-mortes-e-22169-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),77,77,2
Alagoas (AL),48,48,3
Amapá (AP),230,230,5
Amazonas (AM),1206,1206,62
Bahia (BA),674,673,21
Ceará (CE),1747,1676,74
Distrito Federal(DF),618,614,14
Espírito Santo (ES),430,383,9
Goiás (GO),229,229,14
Maranhão (MA),398,398,24
Mato Grosso (MT),123,123,3
Mato Grosso do Sul (MS),101,101,2
Minas Gerais (MG),806,806,20
Pará (PA),251,246,13
Paraíba (PB),111,101,13
Paraná (PR),750,738,30
Pernambuco (PE),960,960,85
Piauí (PI),51,44,7
Rio de Janeiro (RJ),2855,2855,170
Rio Grande do Norte (RN),304,302,15
Rio Grande do Sul (RS),664,653,16
Rondônia (RO),42,35,2
Roraima (RR),79,79,3
Santa Catarina (SC),776,768,24
São Paulo (SP),8755,8755,588
Sergipe (SE),44,44,4
Tocantins (TO),26,25,0
TOTAL,22355,22169,
