https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/13/casos-de-coronavirus-no-brasil-em-13-de-abril.ghtml,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),90,90,3
Alagoas (AL),58,50,3
Amapá (AP),244,242,5
Amazonas (AM),1275,1275,71
Bahia (BA),723,723,22
Ceará (CE),1935,1800,91
Distrito Federal(DF),641,638,15
Espírito Santo (ES),463,430,14
Goiás (GO),233,233,15
Maranhão (MA),478,445,27
Mato Grosso (MT),134,134,4
Mato Grosso do Sul (MS),113,113,4
Minas Gerais (MG),815,815,23
Pará (PA),259,270,15
Paraíba (PB),117,111,13
Paraná (PR),768,756,31
Pernambuco (PE),1154,1154,102
Piauí (PI),51,50,8
Rio de Janeiro (RJ),3231,3231,188
Rio Grande do Norte (RN),339,339,17
Rio Grande do Sul (RS),685,664,16
Rondônia (RO),42,42,2
Roraima (RR),113,83,3
Santa Catarina (SC),826,777,24
São Paulo (SP),8895,8895,608
Sergipe (SE),45,44,4
Tocantins (TO),26,26,0
TOTAL,23753,23430,
