https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,4781,105
Alagoas (AL),,7058,354
Amapá (AP),,6967,173
Amazonas (AM),,31949,1852
Bahia (BA),,14566,495
Ceará (CE),,37021,2603
Distrito Federal(DF),,7210,124
Espírito Santo (ES),,10889,487
Goiás (GO),,2671,104
Maranhão (MA),,24278,817
Mato Grosso (MT),,1628,43
Mato Grosso do Sul (MS),,1100,17
Minas Gerais (MG),,7516,234
Pará (PA),,28600,2469
Paraíba (PB),,8919,286
Paraná (PR),,3512,159
Pernambuco (PE),,28854,2328
Piauí (PI),,3720,119
Rio de Janeiro (RJ),,40024,4361
Rio Grande do Norte (RN),,5472,220
Rio Grande do Sul (RS),,6785,203
Rondônia (RO),,3493,133
Roraima (RR),,2583,102
Santa Catarina (SC),,7016,121
São Paulo (SP),,86017,6423
Sergipe (SE),,5735,116
Tocantins (TO),,2858,64
TOTAL,,391222,24512
