https://covid19br.wcota.me/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,7284,190
Alagoas (AL),,13939,557
Amapá (AP),,12327,260
Amazonas (AM),,47666,2199
Bahia (BA),,26419,819
Ceará (CE),,62176,3907
Distrito Federal(DF),,14208,202
Espírito Santo (ES),,18480,790
Goiás (GO),,5613,167
Maranhão (MA),,45470,1132
Mato Grosso (MT),,3593,91
Mato Grosso do Sul (MS),,1997,21
Minas Gerais (MG),,13995,344
Pará (PA),,52623,3573
Paraíba (PB),,18579,451
Paraná (PR),,6348,227
Pernambuco (PE),,38511,3205
Piauí (PI),,7105,224
Rio de Janeiro (RJ),,63066,6473
Rio Grande do Norte (RN),,9440,387
Rio Grande do Sul (RS),,11583,276
Rondônia (RO),,6862,213
Roraima (RR),,5238,139
Santa Catarina (SC),,10846,159
São Paulo (SP),,134565,8842
Sergipe (SE),,8577,198
Tocantins (TO),,5182,89
TOTAL,,651692,35135
