https://covid.saude.gov.br/ e https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),7525,7525,201,201
Alagoas (AL),14818,14818,582,582
Amapá (AP),48785,48785,2232,2232
Amazonas (AM),12773,12773,269,269
Bahia (BA),27396,27396,846,846
Ceará (CE),63575,63575,3965,3965
Distrito Federal(DF),15850,15850,208,208
Espírito Santo (ES),18950,18950,806,806
Goiás (GO),5770,5770,172,172
Maranhão (MA),47593,47593,1170,1132
Mato Grosso (MT),14939,14939,368,368
Mato Grosso do Sul (MS),2253,2253,21,21
Minas Gerais (MG),3788,3788,101,96
Pará (PA),53860,53860,3665,3612
Paraíba (PB),19787,19787,467,467
Paraná (PR),39361,39361,3270,3270
Pernambuco (PE),7478,7478,239,224
Piauí (PI),6693,6693,239,232
Rio de Janeiro (RJ),64533,64533,6639,6639
Rio Grande do Norte (RN),9449,9449,410,410
Rio Grande do Sul (RS),7701,7701,228,228
Rondônia (RO),5529,5529,142,139
Roraima (RR),12037,12037,283,283
Santa Catarina (SC),11285,11285,166,166
São Paulo (SP),8972,8972,208,208
Sergipe (SE),140549,140549,9058,9058
Tocantins (TO),5644,5644,99,96
TOTAL,676893,676893,36054,35930
