https://brasil.io/covid19/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),8128,8128,211,211
Alagoas (AL),16340,16340,622,622
Amapá (AP),13294,13294,278,278
Amazonas (AM),49817,49817,2271,2271
Bahia (BA),28715,28715,910,910
Ceará (CE),66218,66218,4192,4192
Distrito Federal(DF),16948,16948,226,226
Espírito Santo (ES),20659,20659,871,871
Goiás (GO),6302,6302,173,173
Maranhão (MA),49371,49371,1247,1247
Mato Grosso (MT),2455,2455,22,22
Mato Grosso do Sul (MS),4243,4243,126,126
Minas Gerais (MG),15883,15883,380,380
Pará (PA),20951,20951,507,507
Paraíba (PB),7121,7121,250,250
Paraná (PR),57570,57570,3835,3835
Pernambuco (PE),40705,40705,3350,3350
Piauí (PI),7927,7927,265,265
Rio de Janeiro (RJ),69499,69499,6781,6781
Rio Grande do Norte (RN),11027,11027,459,459
Rio Grande do Sul (RS),12250,12250,291,291
Rondônia (RO),8626,8626,245,245
Roraima (RR),6056,6056,168,168
Santa Catarina (SC),11742,11742,177,177
São Paulo (SP),144593,144593,9188,9188
Sergipe (SE),9727,9727,234,234
Tocantins (TO),6052,6052,114,114
TOTAL,712219,712219,37393,37393
