https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),58506,58506,1030,1030
Alagoas (AL),133220,133220,3034,3034
Amapá (AP),84483,84483,1146,1146
Amazonas (AM),318948,318948,11087,11087
Bahia (BA),694783,694783,12140,12140
Ceará (CE),434154,432925,11432,11406
Distrito Federal(DF),300919,300919,4900,4900
Espírito Santo (ES),329643,329643,6476,6476
Goiás (GO),406579,403752,8713,8700
Maranhão (MA),221032,221032,5127,5127
Mato Grosso (MT),255712,254211,5904,5807
Mato Grosso do Sul (MS),185112,184117,3393,3374
Minas Gerais (MG),893645,893645,18872,18872
Pará (PA),369880,368310,8757,8709
Paraíba (PB),224287,224287,4588,4588
Paraná (PR),661109,661109,11982,11982
Pernambuco (PE),303047,303047,11068,11068
Piauí (PI),176349,175550,3402,3387
Rio de Janeiro (RJ),587800,587800,33362,33362
Rio Grande do Norte (RN),171576,169419,3700,3650
Rio Grande do Sul (RS),657509,657509,12833,12833
Rondônia (RO),152563,152563,2944,2944
Roraima (RR),82987,82612,1117,1117
Santa Catarina (SC),688600,688600,7618,7618
São Paulo (SP),2068616,2068616,60381,60381
Sergipe (SE),152986,152986,2984,2984
Tocantins (TO),116912,116038,1557,1549
TOTAL,10730957,10718630,259547,259271
