Data,Suspeitos,Confirmados,Mortes
25/02,0,1,
26/02,20,1,
27/02,132,1,
28/02,182,1,
29/02,207,2,
01/03,252,2,
02/03,433,2,
03/03,488,2,
04/03,530,3,
05/03,635,8,
06/03,768,13,
07/03,674,19,
08/03,663,25,
09/03,930,30,
10/03,893,34,
11/03,907,52,
12/03,1427,77,
13/03,1485,107,
14/03,1496,121,
15/03,1913,200,
16/03,2064,234,
17/03,8819,291,2
18/03,11278,428,5
19/03,,621,7
20/03,,904,11
21/03,,1128,18
22/03,,1546,25
23/03,,1891,34
24/03,,2201,46
25/03,,2433,59
26/03,,2915,77
27/03,,3476,92
28/03,,3904,111
29/03,,4309,139
30/03,,4661,165
31/03,,5812,202
01/04,,6931,244
02/04,,8076,327
03/04,,9216,365
04/04,,10361,445
05/04,,11298,489
06/04,,12239,566
07/04,,14072,667
08/04,,16188,822
09/04,,18176,957
10/04,,19943,1074
11/04,,20964,1141
12/04,,22318,1230
13/04,,23753,1355
14/04,,25684,1552
15/04,,28912,1760
16/04,,30425,1924
17/04,,33682,2141
